SiPM 3000  (-489.77,-54.37,-22.8)
SiPM 3001  (-489.77,-38.82,-22.8)
SiPM 3002  (-489.77,-23.27,-22.8)
SiPM 3003  (-489.77,-7.72,-22.8)
SiPM 3004  (-489.77,7.83,-22.8)
SiPM 3005  (-489.77,23.38,-22.8)
SiPM 3006  (-489.77,38.93,-22.8)
SiPM 3007  (-489.77,54.48,-22.8)
SiPM 3008  (-474.22,-54.37,-22.8)
SiPM 3009  (-474.22,-38.82,-22.8)
SiPM 3010  (-474.22,-23.27,-22.8)
SiPM 3011  (-474.22,-7.72,-22.8)
SiPM 3012  (-474.22,7.83,-22.8)
SiPM 3013  (-474.22,23.38,-22.8)
SiPM 3014  (-474.22,38.93,-22.8)
SiPM 3015  (-474.22,54.48,-22.8)
SiPM 3016  (-458.67,-54.37,-22.8)
SiPM 3017  (-458.67,-38.82,-22.8)
SiPM 3018  (-458.67,-23.27,-22.8)
SiPM 3019  (-458.67,-7.72,-22.8)
SiPM 3020  (-458.67,7.83,-22.8)
SiPM 3021  (-458.67,23.38,-22.8)
SiPM 3022  (-458.67,38.93,-22.8)
SiPM 3023  (-458.67,54.48,-22.8)
SiPM 3024  (-443.12,-54.37,-22.8)
SiPM 3025  (-443.12,-38.82,-22.8)
SiPM 3026  (-443.12,-23.27,-22.8)
SiPM 3027  (-443.12,-7.72,-22.8)
SiPM 3028  (-443.12,7.83,-22.8)
SiPM 3029  (-443.12,23.38,-22.8)
SiPM 3030  (-443.12,38.93,-22.8)
SiPM 3031  (-443.12,54.48,-22.8)
SiPM 3032  (-427.57,-54.37,-22.8)
SiPM 3033  (-427.57,-38.82,-22.8)
SiPM 3034  (-427.57,-23.27,-22.8)
SiPM 3035  (-427.57,-7.72,-22.8)
SiPM 3036  (-427.57,7.83,-22.8)
SiPM 3037  (-427.57,23.38,-22.8)
SiPM 3038  (-427.57,38.93,-22.8)
SiPM 3039  (-427.57,54.48,-22.8)
SiPM 3040  (-412.02,-54.37,-22.8)
SiPM 3041  (-412.02,-38.82,-22.8)
SiPM 3042  (-412.02,-23.27,-22.8)
SiPM 3043  (-412.02,-7.72,-22.8)
SiPM 3044  (-412.02,7.83,-22.8)
SiPM 3045  (-412.02,23.38,-22.8)
SiPM 3046  (-412.02,38.93,-22.8)
SiPM 3047  (-412.02,54.48,-22.8)
SiPM 3048  (-396.47,-54.37,-22.8)
SiPM 3049  (-396.47,-38.82,-22.8)
SiPM 3050  (-396.47,-23.27,-22.8)
SiPM 3051  (-396.47,-7.72,-22.8)
SiPM 3052  (-396.47,7.83,-22.8)
SiPM 3053  (-396.47,23.38,-22.8)
SiPM 3054  (-396.47,38.93,-22.8)
SiPM 3055  (-396.47,54.48,-22.8)
SiPM 3056  (-380.92,-54.37,-22.8)
SiPM 3057  (-380.92,-38.82,-22.8)
SiPM 3058  (-380.92,-23.27,-22.8)
SiPM 3059  (-380.92,-7.72,-22.8)
SiPM 3060  (-380.92,7.83,-22.8)
SiPM 3061  (-380.92,23.38,-22.8)
SiPM 3062  (-380.92,38.93,-22.8)
SiPM 3063  (-380.92,54.48,-22.8)
SiPM 4000  (-489.77,70.03,-22.8)
SiPM 4001  (-489.77,85.58,-22.8)
SiPM 4002  (-489.77,101.13,-22.8)
SiPM 4003  (-489.77,116.68,-22.8)
SiPM 4004  (-489.77,132.23,-22.8)
SiPM 4005  (-489.77,147.78,-22.8)
SiPM 4006  (-489.77,163.33,-22.8)
SiPM 4007  (-489.77,178.88,-22.8)
SiPM 4008  (-474.22,70.03,-22.8)
SiPM 4009  (-474.22,85.58,-22.8)
SiPM 4010  (-474.22,101.13,-22.8)
SiPM 4011  (-474.22,116.68,-22.8)
SiPM 4012  (-474.22,132.23,-22.8)
SiPM 4013  (-474.22,147.78,-22.8)
SiPM 4014  (-474.22,163.33,-22.8)
SiPM 4015  (-474.22,178.88,-22.8)
